INSTANCE	ITERATION	MAXIMUM_CLIQUE	RUNTIME
benchmarks/C250.9.clq	56	36	1.4858992099761963
benchmarks/C250.9.clq	57	34	1.4796764850616455
benchmarks/C250.9.clq	58	39	1.9852347373962402
benchmarks/C250.9.clq	59	34	1.495570421218872
benchmarks/C250.9.clq	60	35	1.6413114070892334
benchmarks/C250.9.clq	61	37	1.786219596862793
benchmarks/C250.9.clq	62	42	2.3000991344451904
benchmarks/C250.9.clq	63	39	2.0767788887023926
benchmarks/C250.9.clq	64	37	1.882481336593628
benchmarks/C250.9.clq	65	34	1.8772003650665283
benchmarks/C250.9.clq	66	35	1.9358530044555664
benchmarks/C250.9.clq	67	33	1.5504534244537354
benchmarks/C250.9.clq	68	39	2.1800999641418457
benchmarks/C250.9.clq	69	40	1.7170042991638184
benchmarks/C250.9.clq	70	38	1.9392077922821045
benchmarks/C250.9.clq	71	38	1.948592185974121
benchmarks/C250.9.clq	72	36	1.8248851299285889
benchmarks/C250.9.clq	73	34	1.602442979812622
benchmarks/C250.9.clq	74	39	2.0654752254486084
benchmarks/C250.9.clq	75	38	1.6520919799804688
benchmarks/C250.9.clq	76	37	1.6118977069854736
benchmarks/C250.9.clq	77	37	1.7204198837280273
benchmarks/C250.9.clq	78	37	1.725341796875
benchmarks/C250.9.clq	79	35	1.497138261795044
benchmarks/C250.9.clq	80	35	1.6677701473236084
benchmarks/C250.9.clq	81	36	1.8181605339050293
benchmarks/C250.9.clq	82	36	1.681535005569458
benchmarks/C250.9.clq	83	36	1.7915773391723633
benchmarks/C250.9.clq	84	37	1.9410009384155273
benchmarks/C250.9.clq	85	40	1.910048484802246
benchmarks/C250.9.clq	86	35	1.5786066055297852
benchmarks/C250.9.clq	87	39	1.9221711158752441
benchmarks/C250.9.clq	88	37	1.696394443511963
benchmarks/C250.9.clq	89	36	1.554591417312622
benchmarks/C250.9.clq	90	36	1.5858042240142822
benchmarks/C250.9.clq	91	36	1.5552082061767578
benchmarks/C250.9.clq	92	37	1.5637366771697998
benchmarks/C250.9.clq	93	36	1.4742095470428467
benchmarks/C250.9.clq	94	36	1.6452538967132568
benchmarks/C250.9.clq	95	35	1.676060676574707
benchmarks/C250.9.clq	96	39	1.9761712551116943
benchmarks/C250.9.clq	97	36	1.5556666851043701
benchmarks/C250.9.clq	98	35	1.6485366821289062
benchmarks/C250.9.clq	99	37	1.6827456951141357
benchmarks/C250.9.clq	100	38	1.6714808940887451
benchmarks/C500.9.clq	1	43	10.536826848983765
benchmarks/C500.9.clq	2	48	11.632912635803223
benchmarks/C500.9.clq	3	46	12.677575826644897
benchmarks/C500.9.clq	4	44	12.14732027053833
benchmarks/C500.9.clq	5	42	10.218570947647095
benchmarks/C500.9.clq	6	43	10.039945125579834
benchmarks/C500.9.clq	7	47	13.96681523323059
benchmarks/C500.9.clq	8	44	10.156179189682007
benchmarks/C500.9.clq	9	44	12.534104108810425
benchmarks/C500.9.clq	10	44	9.527655124664307
benchmarks/C500.9.clq	11	39	9.342738389968872
benchmarks/C500.9.clq	12	43	9.645393133163452
benchmarks/C500.9.clq	13	42	10.001787185668945
benchmarks/C500.9.clq	14	46	11.541105508804321
benchmarks/C500.9.clq	15	41	10.290956258773804
benchmarks/C500.9.clq	16	46	10.788414716720581
benchmarks/C500.9.clq	17	42	10.799011468887329
benchmarks/C500.9.clq	18	43	11.550565719604492
benchmarks/C500.9.clq	19	46	11.06835651397705
benchmarks/C500.9.clq	20	43	11.159297227859497
benchmarks/C500.9.clq	21	49	11.921515941619873
benchmarks/C500.9.clq	22	43	10.187987089157104
benchmarks/C500.9.clq	23	47	13.128899335861206
benchmarks/C500.9.clq	24	44	10.838576555252075
benchmarks/C500.9.clq	25	41	10.154454708099365
benchmarks/C500.9.clq	26	42	10.863465070724487
benchmarks/C500.9.clq	27	41	10.19602918624878
benchmarks/C500.9.clq	28	46	11.218044757843018
benchmarks/C500.9.clq	29	46	10.588934421539307
benchmarks/C500.9.clq	30	45	12.118557691574097
benchmarks/C500.9.clq	31	44	10.454862833023071
benchmarks/C500.9.clq	32	45	12.131531000137329
benchmarks/C500.9.clq	33	46	11.376176595687866
benchmarks/C500.9.clq	34	42	11.599932670593262
benchmarks/C500.9.clq	35	41	10.282016277313232
benchmarks/C500.9.clq	36	42	11.774100065231323
benchmarks/C500.9.clq	37	44	13.979689598083496
benchmarks/C500.9.clq	38	44	12.441744804382324
benchmarks/C500.9.clq	39	45	13.550634860992432
benchmarks/C500.9.clq	40	47	14.39933443069458
benchmarks/C500.9.clq	41	40	11.296982765197754
benchmarks/C500.9.clq	42	42	9.446827173233032
benchmarks/C500.9.clq	43	45	10.897273063659668
benchmarks/C500.9.clq	44	44	10.903911828994751
benchmarks/C500.9.clq	45	45	12.533384323120117
benchmarks/C500.9.clq	46	49	12.757878541946411
benchmarks/C500.9.clq	47	41	10.151994466781616
benchmarks/C500.9.clq	48	42	11.629357814788818
benchmarks/C500.9.clq	49	42	11.224554300308228
benchmarks/C500.9.clq	50	45	9.817543983459473
benchmarks/C500.9.clq	51	49	11.710907697677612
benchmarks/C500.9.clq	52	48	13.176545143127441
benchmarks/C500.9.clq	53	45	11.151110172271729
benchmarks/C500.9.clq	54	46	11.922615051269531
benchmarks/C500.9.clq	55	42	9.680176019668579
benchmarks/C500.9.clq	56	43	9.555382013320923
benchmarks/C500.9.clq	57	42	10.407080173492432
benchmarks/C500.9.clq	58	44	10.840975046157837
benchmarks/C500.9.clq	59	43	10.773983001708984
benchmarks/C500.9.clq	60	44	11.471275091171265
benchmarks/C500.9.clq	61	43	9.455182313919067
benchmarks/C500.9.clq	62	48	11.025989294052124
benchmarks/C500.9.clq	63	43	10.946248769760132
benchmarks/C500.9.clq	64	44	11.380038499832153
benchmarks/C500.9.clq	65	44	11.591388940811157
benchmarks/C500.9.clq	66	43	10.089144945144653
benchmarks/C500.9.clq	67	43	11.253093004226685
benchmarks/C500.9.clq	68	42	10.243452072143555
benchmarks/C500.9.clq	69	48	13.14815354347229
benchmarks/C500.9.clq	70	42	11.182287693023682
benchmarks/C500.9.clq	71	42	10.078643798828125
benchmarks/C500.9.clq	72	45	11.620561122894287
benchmarks/C500.9.clq	73	43	11.075170040130615
benchmarks/C500.9.clq	74	48	13.496842861175537
benchmarks/C500.9.clq	75	42	11.27185606956482
benchmarks/C500.9.clq	76	46	10.655744314193726
benchmarks/C500.9.clq	77	46	13.08773136138916
benchmarks/C500.9.clq	78	42	9.95582127571106
benchmarks/C500.9.clq	79	43	11.723551750183105
benchmarks/C500.9.clq	80	46	11.801252126693726
benchmarks/C500.9.clq	81	46	10.363507747650146
benchmarks/C500.9.clq	82	43	9.357959985733032
benchmarks/C500.9.clq	83	46	10.8933265209198
benchmarks/C500.9.clq	84	46	11.87170672416687
benchmarks/C500.9.clq	85	45	12.340483903884888
benchmarks/C500.9.clq	86	42	10.795458793640137
benchmarks/C500.9.clq	87	43	9.933764696121216
benchmarks/C500.9.clq	88	44	11.852590322494507
benchmarks/C500.9.clq	89	44	12.627965211868286
benchmarks/C500.9.clq	90	45	11.455697059631348
benchmarks/C500.9.clq	91	49	13.671574592590332
benchmarks/C500.9.clq	92	42	11.646391153335571
benchmarks/C500.9.clq	93	43	12.033103942871094
benchmarks/C500.9.clq	94	44	12.07954716682434
benchmarks/C500.9.clq	95	41	9.8522047996521
benchmarks/C500.9.clq	96	45	11.997544050216675
benchmarks/C500.9.clq	97	41	8.945661306381226
benchmarks/C500.9.clq	98	43	10.493746757507324
benchmarks/C500.9.clq	99	46	12.738938570022583
benchmarks/C500.9.clq	100	43	10.284900665283203
benchmarks/C1000.9.clq	1	54	77.25838160514832
benchmarks/C1000.9.clq	2	53	78.74606990814209
benchmarks/C1000.9.clq	3	51	72.57391810417175
benchmarks/C1000.9.clq	4	53	82.67669725418091
benchmarks/C1000.9.clq	5	52	79.1769630908966
benchmarks/C1000.9.clq	6	54	84.27696323394775
benchmarks/C1000.9.clq	7	53	78.18887281417847
benchmarks/C1000.9.clq	8	54	78.78217148780823
benchmarks/C1000.9.clq	9	53	69.69638729095459
benchmarks/C1000.9.clq	10	54	84.26933336257935
benchmarks/C1000.9.clq	11	52	72.75833678245544
benchmarks/C1000.9.clq	12	51	69.53091669082642
benchmarks/C1000.9.clq	13	52	78.05523109436035
benchmarks/C1000.9.clq	14	53	74.08639764785767
benchmarks/C1000.9.clq	15	56	80.50512552261353
benchmarks/C1000.9.clq	16	50	71.71302533149719
benchmarks/C1000.9.clq	17	54	82.97246885299683
benchmarks/C1000.9.clq	18	55	81.34507727622986
benchmarks/C1000.9.clq	19	51	74.50920724868774
benchmarks/C1000.9.clq	20	48	70.45608568191528
benchmarks/C1000.9.clq	21	50	76.07076215744019
benchmarks/C1000.9.clq	22	48	67.51037120819092
benchmarks/C1000.9.clq	23	50	70.33615350723267
benchmarks/C1000.9.clq	24	56	80.48844337463379
benchmarks/C1000.9.clq	25	53	77.02644443511963
benchmarks/C1000.9.clq	26	51	71.98161792755127
benchmarks/C1000.9.clq	27	53	74.15272235870361
benchmarks/C1000.9.clq	28	52	72.73398900032043
